,edition,rarity
0,Aether Revolt,(Common)
1,Aether Revolt,(Uncommon)
2,Aether Revolt,(Uncommon)
3,Aether Revolt,(Common)
4,Aether Revolt,(Common)
5,Aether Revolt,(Common)
6,Aether Revolt,(Common)
7,Aether Revolt,(Common)
8,Aether Revolt,(Rare)
9,Aether Revolt,(Rare)
10,Aether Revolt,(Common)
11,Aether Revolt,(Rare)
12,Aether Revolt (Mythic,Rare)
13,Aether Revolt,(Rare)
14,Aether Revolt,(Uncommon)
15,Aether Revolt (Mythic,Rare)
16,Aether Revolt (Mythic,Rare)
17,Aether Revolt,(Rare)
18,Aether Revolt,(Uncommon)
19,Aether Revolt,(Common)
20,Aether Revolt,(Common)
21,Aether Revolt,(Common)
22,Aether Revolt,(Common)
23,Aether Revolt,(Rare)
24,Aether Revolt,(Rare)
25,Aether Revolt,(Uncommon)
26,Aether Revolt,(Common)
27,Aether Revolt,(Common)
28,Aether Revolt,(Rare)
29,Aether Revolt,(Rare)
30,Aether Revolt,(Common)
31,Aether Revolt,(Common)
32,Aether Revolt,(Uncommon)
33,Aether Revolt,(Rare)
34,Aether Revolt,(Uncommon)
35,Aether Revolt,(Common)
36,Aether Revolt,(Common)
37,Aether Revolt,(Common)
38,Aether Revolt,(Uncommon)
39,Aether Revolt,(Common)
40,Aether Revolt,(Uncommon)
41,Aether Revolt,(Common)
42,Aether Revolt,(Rare)
43,Aether Revolt,(Common)
44,Aether Revolt,(Uncommon)
45,Aether Revolt,(Common)
46,Aether Revolt,(Common)
47,Aether Revolt,(Uncommon)
48,Aether Revolt,(Common)
49,Aether Revolt,(Rare)
50,Aether Revolt,(Common)
51,Aether Revolt,(Common)
52,Aether Revolt,(Uncommon)
53,Aether Revolt,(Common)
54,Aether Revolt,(Uncommon)
55,Aether Revolt (Mythic,Rare)
56,Aether Revolt,(Uncommon)
57,Aether Revolt,(Uncommon)
58,Aether Revolt,(Common)
59,Aether Revolt,(Common)
60,Aether Revolt,(Common)
61,Aether Revolt,(Uncommon)
62,Aether Revolt,(Common)
63,Aether Revolt,(Rare)
64,Aether Revolt,(Common)
65,Aether Revolt,(Common)
66,Aether Revolt,(Uncommon)
67,Aether Revolt,(Rare)
68,Aether Revolt (Mythic,Rare)
69,Aether Revolt,(Uncommon)
70,Aether Revolt,(Rare)
71,Aether Revolt,(Rare)
72,Aether Revolt,(Uncommon)
73,Aether Revolt (Mythic,Rare)
74,Aether Revolt (Mythic,Rare)
75,Aether Revolt,(Rare)
76,Aether Revolt,(Uncommon)
77,Aether Revolt,(Uncommon)
78,Aether Revolt,(Common)
79,Aether Revolt,(Common)
80,Aether Revolt,(Rare)
81,Aether Revolt,(Uncommon)
82,Aether Revolt,(Common)
83,Aether Revolt,(Uncommon)
84,Aether Revolt,(Common)
85,Aether Revolt,(Common)
86,Aether Revolt,(Common)
87,Aether Revolt,(Common)
88,Aether Revolt,(Common)
89,Aether Revolt (Mythic,Rare)
90,Aether Revolt,(Common)
91,Aether Revolt,(Rare)
92,Aether Revolt,(Uncommon)
93,Aether Revolt,(Uncommon)
94,Aether Revolt,(Common)
95,Aether Revolt,(Rare)
96,Aether Revolt,(Rare)
97,Aether Revolt,(Common)
98,Aether Revolt,(Common)
99,Aether Revolt,(Uncommon)
100,Aether Revolt,(Common)
101,Aether Revolt,(Rare)
102,Aether Revolt,(Uncommon)
103,Aether Revolt (Mythic,Rare)
104,Aether Revolt,(Uncommon)
105,Aether Revolt,(Uncommon)
106,Aether Revolt (Mythic,Rare)
107,Aether Revolt,(Rare)
108,Aether Revolt,(Rare)
109,Aether Revolt,(Common)
110,Aether Revolt,(Rare)
111,Aether Revolt,(Common)
