,card name,img url,edition - rarity,mana cost,converted mana cost,type,abilities,average price,market price,foil price
0,Acidic Slime,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189880&type=card,Magic 2010 (Uncommon),"['3', 'Green', 'Green']",5,Creature — Ooze (2/2),"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.",None,None,None
1,Acidic Slime,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189880&type=card,Magic 2010 (Uncommon),"['3', 'Green', 'Green']",5,Creature — Ooze (2/2),"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.","AVERAGE
$0.29","MARKET
$0.20","FOIL
$1.20"
2,Acidic Slime,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189880&type=card,Magic 2010 (Uncommon),"['3', 'Green', 'Green']",5,Creature — Ooze (2/2),"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.","AVERAGE
$0.29","MARKET
$0.20","FOIL
$1.20"
3,Acidic Slime,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189880&type=card,Magic 2010 (Uncommon),"['3', 'Green', 'Green']",5,Creature — Ooze (2/2),"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.","AVERAGE
$0.29","MARKET
$0.20","FOIL
$1.20"
4,Acidic Slime,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=207333&type=card,Magic 2011 (Uncommon),"['3', 'Green', 'Green']",5,Creature — Ooze (2/2),"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.",None,None,None
5,Acidic Slime,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=207333&type=card,Magic 2011 (Uncommon),"['3', 'Green', 'Green']",5,Creature — Ooze (2/2),"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.","AVERAGE
$0.29","MARKET
$0.20","FOIL
$1.20"
6,Acidic Slime,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=207333&type=card,Magic 2011 (Uncommon),"['3', 'Green', 'Green']",5,Creature — Ooze (2/2),"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.","AVERAGE
$0.29","MARKET
$0.20","FOIL
$1.20"
7,Acidic Slime,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=207333&type=card,Magic 2011 (Uncommon),"['3', 'Green', 'Green']",5,Creature — Ooze (2/2),"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.","AVERAGE
$0.29","MARKET
$0.20","FOIL
$1.20"
8,Acidic Slime,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=226906&type=card,Magic 2012 (Uncommon),"['3', 'Green', 'Green']",5,Creature — Ooze (2/2),"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.",None,None,None
9,Acidic Slime,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=226906&type=card,Magic 2012 (Uncommon),"['3', 'Green', 'Green']",5,Creature — Ooze (2/2),"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.","AVERAGE
$0.29","MARKET
$0.20","FOIL
$1.20"
10,Acidic Slime,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=226906&type=card,Magic 2012 (Uncommon),"['3', 'Green', 'Green']",5,Creature — Ooze (2/2),"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.","AVERAGE
$0.29","MARKET
$0.20","FOIL
$1.20"
11,Acidic Slime,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=226906&type=card,Magic 2012 (Uncommon),"['3', 'Green', 'Green']",5,Creature — Ooze (2/2),"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.","AVERAGE
$0.29","MARKET
$0.20","FOIL
$1.20"
12,Acidic Slime,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=265718&type=card,Magic 2013 (Uncommon),"['3', 'Green', 'Green']",5,Creature — Ooze (2/2),"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.",None,None,None
13,Acidic Slime,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=265718&type=card,Magic 2013 (Uncommon),"['3', 'Green', 'Green']",5,Creature — Ooze (2/2),"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.","AVERAGE
$0.29","MARKET
$0.20","FOIL
$1.20"
14,Acidic Slime,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=265718&type=card,Magic 2013 (Uncommon),"['3', 'Green', 'Green']",5,Creature — Ooze (2/2),"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.","AVERAGE
$0.29","MARKET
$0.20","FOIL
$1.20"
15,Acidic Slime,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=265718&type=card,Magic 2013 (Uncommon),"['3', 'Green', 'Green']",5,Creature — Ooze (2/2),"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.","AVERAGE
$0.29","MARKET
$0.20","FOIL
$1.20"
16,Acolyte of Xathrid,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190579&type=card,Magic 2010 (Common),['Black'],1,Creature — Human Cleric (0/1),", : Target player loses 1 life.","AVERAGE
$0.29","MARKET
$0.20","FOIL
$1.20"
17,Act of Treason,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191082&type=card,Magic 2010 (Uncommon),"['2', 'Red']",3,Sorcery,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and this turn.),"AVERAGE
$0.23","MARKET
$0.10","FOIL
$0.49"
18,Act of Treason,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191082&type=card,Magic 2010 (Uncommon),"['2', 'Red']",3,Sorcery,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and this turn.),"AVERAGE
$0.19","MARKET
$0.03","FOIL
$0.25"
19,Act of Treason,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191082&type=card,Magic 2010 (Uncommon),"['2', 'Red']",3,Sorcery,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and this turn.),"AVERAGE
$0.19","MARKET
$0.03","FOIL
$0.25"
20,Act of Treason,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205072&type=card,Magic 2011 (Common),"['2', 'Red']",3,Sorcery,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and this turn.),"AVERAGE
$0.23","MARKET
$0.10","FOIL
$0.49"
21,Act of Treason,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205072&type=card,Magic 2011 (Common),"['2', 'Red']",3,Sorcery,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and this turn.),"AVERAGE
$0.19","MARKET
$0.03","FOIL
$0.25"
