,card name,edition,rarity,converted mana cost,colourless mana,coloured mana,main type,sub type,power,toughness,abilities,average price in $,market price in $,foil price in $,img url
16,Acolyte of Xathrid,Magic 2010 ,Common),1,['Black'],,Creature , Human Cleric , Human Cleric (0,1),", : Target player loses 1 life.",0.29,0.20,1.20,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190579&type=card
1362,Adaptive Automaton,Magic 2012 ,Rare),3,['3'],,Artifact Creature , Construct , Construct (2,2),"As Adaptive Automaton enters the battlefield, choose a creature type.
Adaptive Automaton is the chosen type in addition to its other types.
Other creatures you control of the chosen type get +1/+1.",3.80,3.58,7.18,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220147&type=card
1363,Aegis Angel,Magic 2012 ,Rare),6,['4'," 'White', 'White']",Creature , Angel , Angel (5,5),"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Aegis Angel enters the battlefield, another target permanent gains indestructible for as long as you control Aegis Angel. (Effects that say ""destroy"" don't destroy it. A creature with indestructible can't be destroyed by damage.)",0.47,0.39,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220086&type=card
26,Air Elemental,Magic 2010 ,Uncommon),5,['3'," 'Blue', 'Blue']",Creature , Elemental , Elemental (4,4),Flying,0.19,0.03,0.25,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189884&type=card
1094,Air Servant,Magic 2011 ,Uncommon),5,['4', 'Blue'],Creature , Elemental , Elemental (4,3),"Flying
: Tap target creature with flying.",0.24,0.17,1.17,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205070&type=card
1095,Ajani's Mantra,Magic 2011 ,Common),2,['1', 'White'],Enchantment,,,,"At the beginning of your upkeep, you may gain 1 life.",,13.67,12.47,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=204987&type=card
1096,Ajani's Pridemate,Magic 2011 ,Uncommon),2,['1', 'White'],Creature , Cat Soldier , Cat Soldier (2,2),"Whenever you gain life, put a +1/+1 counter on Ajani's Pridemate.",0.32,0.21,0.97,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205065&type=card
1531,Ajani's Sunstriker,Magic 2013 ,Common),2,['White', 'White'],Creature , Cat Cleric , Cat Cleric (2,2),Lifelink (Damage dealt by this creature also causes you to gain that much life.),4.04,3.80,0.54,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=259715&type=card
1530,"Ajani, Caller of the Pride",Magic 2013 ,Mythic Rare),3,['1'," 'White', 'White']",Legendary Planeswalker , Ajani , Ajani (4),,"+1: Put a +1/+1 counter on up to one target creature.
−3: Target creature gains flying and double strike until end of turn.
−8: Create X 2/2 white Cat creature tokens, where X is your life total.",0.29,0.20,1.20,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=249695&type=card
1532,Akroma's Memorial,Magic 2013 ,Mythic Rare),7,['7'],,Legendary Artifact,,,,"Creatures you control have flying, first strike, vigilance, trample, haste, and protection from black and from red.",19.77,20.77,50.20,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=279712&type=card
1364,Alabaster Mage,Magic 2012 ,Uncommon),2,['1', 'White'],Creature , Human Wizard , Human Wizard (2,1),: Target creature you control gains lifelink until end of turn. (Damage dealt by the creature also causes its controller to gain that much life.),0.25,0.08,0.38,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220264&type=card
1365,Amphin Cutthroat,Magic 2012 ,Common),4,['3', 'Blue'],Creature , Salamander Rogue , Salamander Rogue (2,4),,0.20,0.05,0.27,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220218&type=card
1097,Ancient Hellkite,Magic 2011 ,Rare),7,['4'," 'Red', 'Red', 'Red']",Creature , Dragon , Dragon (6,6),"Flying
: Ancient Hellkite deals 1 damage to target creature defending player controls. Activate only if Ancient Hellkite is attacking.",0.24,0.31,0.65,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=204980&type=card
