card name,average price,market price,foil price
Adder-Staff Boggart,None,None,None
Æthersnipe (Aethersnipe),"AVERAGE
$0.25","MARKET
$0.11","FOIL
$0.30"
Ajani Goldmane,"AVERAGE
$0.24","MARKET
$13.67","FOIL
$12.47"
Amoeboid Changeling,None,"MARKET
$13.67","FOIL
$12.47"
Ancient Amphitheater,"AVERAGE
$0.95","MARKET
$1.05","FOIL
$9.30"
Aquitect's Will,"AVERAGE
$0.86","MARKET
$0.75","FOIL
$2.76"
Arbiter of Knollridge,"AVERAGE
$0.32","MARKET
$0.27","FOIL
$2.76"
Ashling the Pilgrim,"AVERAGE
$0.45","MARKET
$0.25","FOIL
$1.48"
Ashling's Prerogative,"AVERAGE
$2.53","MARKET
$2.58","FOIL
$20.81"
Auntie's Hovel,"AVERAGE
$0.71","MARKET
$0.69","FOIL
$6.31"
Austere Command,"AVERAGE
$19.40","MARKET
$20.79","FOIL
$47.64"
Avian Changeling,"AVERAGE
$5.00","MARKET
$4.48","FOIL
$1.03"
Axegrinder Giant,"AVERAGE
$0.25","MARKET
$0.22","FOIL
$1.03"
Battle Mastery,"AVERAGE
$0.22","MARKET
$0.17","FOIL
$0.52"
Battlewand Oak,"AVERAGE
$0.25","MARKET
$0.17","FOIL
$0.52"
Benthicore,"AVERAGE
$0.25","MARKET
$0.17","FOIL
$0.97"
Black Poplar Shaman,"AVERAGE
$0.25","MARKET
$0.17","FOIL
$0.67"
Blades of Velis Vel,"AVERAGE
$0.25","MARKET
$0.15","FOIL
$1.00"
Blind-Spot Giant,"AVERAGE
$0.25","MARKET
$0.12","FOIL
$0.50"
Bog Hoodlums,"AVERAGE
$0.24","MARKET
$0.07","FOIL
$0.29"
Boggart Birth Rite,"AVERAGE
$0.24","MARKET
$0.06","FOIL
$0.30"
Boggart Forager,"AVERAGE
$0.25","MARKET
$0.16","FOIL
$1.97"
Boggart Harbinger,"AVERAGE
$0.21","MARKET
$0.15","FOIL
$0.39"
Boggart Loggers,"AVERAGE
$3.68","MARKET
$2.64","FOIL
$0.33"
Boggart Mob,"AVERAGE
$0.24","MARKET
$0.08","FOIL
$2.86"
Boggart Shenanigans,"AVERAGE
$2.12","MARKET
$1.89","FOIL
$7.93"
Boggart Sprite-Chaser,"AVERAGE
$2.12","MARKET
$1.89","FOIL
$7.93"
Bog-Strider Ash,"AVERAGE
$0.21","MARKET
$0.09","FOIL
$0.39"
Briarhorn,"AVERAGE
$0.20","MARKET
$0.09","FOIL
$0.39"
"Brigid, Hero of Kinsbaile","AVERAGE
$0.94","MARKET
$0.87","FOIL
$2.90"
Brion Stoutarm,"AVERAGE
$0.94","MARKET
$0.87","FOIL
$2.90"
Broken Ambitions,"AVERAGE
$0.67","MARKET
$0.78","FOIL
$3.82"
Burrenton Forge-Tender,"AVERAGE
$0.25","MARKET
$0.15","FOIL
$0.94"
Cairn Wanderer,"AVERAGE
$0.58","MARKET
$0.55","FOIL
$4.13"
Captivating Glance,"AVERAGE
$1.13","MARKET
$0.96","FOIL
$8.47"
Caterwauling Boggart,"AVERAGE
$0.28","MARKET
$0.17","FOIL
$1.03"
Ceaseless Searblades,"AVERAGE
$0.28","MARKET
$0.24","FOIL
$0.85"
Cenn's Heir,"AVERAGE
$0.25","MARKET
$0.20","FOIL
$0.85"
Chandra Nalaar,"AVERAGE
$0.24","MARKET
$1.42","FOIL
$5.72"
Changeling Berserker,"AVERAGE
$1.85","MARKET
$1.42","FOIL
$8.45"
Changeling Hero,"AVERAGE
$0.42","MARKET
$0.35","FOIL
$3.00"
Changeling Titan,"AVERAGE
$0.42","MARKET
$0.35","FOIL
$3.00"
Cloudcrown Oak,"AVERAGE
$2.13","MARKET
$2.17","FOIL
$9.85"
Cloudgoat Ranger,"AVERAGE
$0.25","MARKET
$0.10","FOIL
$0.50"
Cloudthresher,"AVERAGE
$0.29","MARKET
$0.24","FOIL
$1.50"
Colfenor's Plans,"AVERAGE
$0.50","MARKET
$0.49","FOIL
$2.38"
Colfenor's Urn,"AVERAGE
$0.48","MARKET
$0.33","FOIL
$5.42"
Consuming Bonfire,"AVERAGE
$2.55","MARKET
$2.69","FOIL
$8.99"
Crib Swap,"AVERAGE
$0.22","MARKET
$0.10","FOIL
$0.30"
Crush Underfoot,"AVERAGE
$0.39","MARKET
$0.28","FOIL
$5.23"
Cryptic Command,"AVERAGE
$0.25","MARKET
$0.22","FOIL
$0.47"
Dauntless Dourbark,"AVERAGE
$2.25","MARKET
$2.54","FOIL
$8.55"
Dawnfluke,"AVERAGE
$3.33","MARKET
$0.08","FOIL
$0.28"
Deathrender,"AVERAGE
$0.22","MARKET
$0.08","FOIL
$0.28"
Deeptread Merrow,"AVERAGE
$4.01","MARKET
$4.33","FOIL
$24.33"
Dolmen Gate,"AVERAGE
$0.24","MARKET
$0.08","FOIL
$0.41"
"Doran, the Siege Tower","AVERAGE
$7.25","MARKET
$7.50","FOIL
$16.95"
Dread,"AVERAGE
$4.99","MARKET
$5.49","FOIL
$12.77"
Dreamspoiler Witches,"AVERAGE
$0.70","MARKET
$0.44",None
Drowner of Secrets,"AVERAGE
$0.22","MARKET
$0.11","FOIL
$1.14"
Ego Erasure,"AVERAGE
$0.29","MARKET
$0.22","FOIL
$1.14"
Elvish Branchbender,"AVERAGE
$0.25","MARKET
$0.17","FOIL
$0.90"
Elvish Eulogist,"AVERAGE
$0.25","MARKET
$0.18","FOIL
$0.90"
Elvish Handservant,"AVERAGE
$0.24","MARKET
$0.18","FOIL
$0.30"
