,card name,img url,edition - rarity,mana cost,converted mana cost,type,abilities
0,Acidic Slime,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189880&type=card,Magic 2010 (Uncommon),"['3', 'Green', 'Green']",5,Creature — Ooze (2/2),"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land."
1,Acolyte of Xathrid,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190579&type=card,Magic 2010 (Common),['Black'],1,Creature — Human Cleric (0/1),", : Target player loses 1 life."
2,Act of Treason,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191082&type=card,Magic 2010 (Uncommon),"['2', 'Red']",3,Sorcery,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and this turn.)
3,Air Elemental,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189884&type=card,Magic 2010 (Uncommon),"['3', 'Blue', 'Blue']",5,Creature — Elemental (4/4),Flying
4,Ajani Goldmane,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191239&type=card,Magic 2010 (Mythic Rare),"['2', 'White', 'White']",4,Legendary Planeswalker — Ajani (4),"+1: You gain 2 life.
−1: Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn.
−6: Create a white Avatar creature token. It has ""This creature's power and toughness are each equal to your life total."""
5,Alluring Siren,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189894&type=card,Magic 2010 (Uncommon),"['1', 'Blue']",2,Creature — Siren (1/1),: Target creature an opponent controls attacks you this turn if able.
6,Angel's Feather,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191245&type=card,Magic 2010 (Uncommon),['2'],2,Artifact,"Whenever a player casts a white spell, you may gain 1 life."
7,Angel's Mercy,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190549&type=card,Magic 2010 (Common),"['2', 'White', 'White']",4,Instant,You gain 7 life.
8,Ant Queen,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191063&type=card,Magic 2010 (Rare),"['3', 'Green', 'Green']",5,Creature — Insect (5/5),: Create a 1/1 green Insect creature token.
9,Armored Ascension,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=193738&type=card,Magic 2010 (Uncommon),"['3', 'White']",4,Enchantment — Aura,"Enchant creature
Enchanted creature gets +1/+1 for each Plains you control and has flying."
10,Assassinate,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=193745&type=card,Magic 2010 (Common),"['2', 'Black']",3,Sorcery,Destroy target tapped creature.
11,Awakener Druid,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189907&type=card,Magic 2010 (Uncommon),"['2', 'Green']",3,Creature — Human Druid (1/1),"When Awakener Druid enters the battlefield, target Forest becomes a 4/5 green Treefolk creature for as long as Awakener Druid remains on the battlefield. It's still a land."
12,Ball Lightning,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191393&type=card,Magic 2010 (Rare),"['Red', 'Red', 'Red']",3,Creature — Elemental (6/1),"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Haste (This creature can attack and as soon as it comes under your control.)
At the beginning of the end step, sacrifice Ball Lightning."
13,Baneslayer Angel,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191065&type=card,Magic 2010 (Mythic Rare),"['3', 'White', 'White']",5,Creature — Angel (5/5),"Flying, first strike, lifelink, protection from Demons and from Dragons"
14,Berserkers of Blood Ridge,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191071&type=card,Magic 2010 (Common),"['4', 'Red']",5,Creature — Human Berserker (4/4),Berserkers of Blood Ridge attacks each combat if able.
15,Birds of Paradise,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191080&type=card,Magic 2010 (Rare),['Green'],1,Creature — Bird (0/1),"Flying
: Add one mana of any color."
