,Unnamed: 0_x,card name,mana cost,converted mana cost,type,abilities-1,abilities-2,flavour text-1,flavour text-2,power/toughness,rarity,expansion,card no,artist,img url,Unnamed: 0_y,avg price ($),market price ($),foil avg ($),foil price ($)
0,0,Aberrant Mind Sorcerer,"['4', 'Blue']",5,Creature — Human Elf Shaman,"Psionic Spells — When Aberrant Mind Sorcerer enters the battlefield, choose target instant or sorcery card in your graveyard, then roll a d20.", , , ,3 / 4,"Rarity:
Uncommon",Adventures in the Forgotten Realms,44,Lius Lasahido,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527331&type=card,2031.0,0.25,0.03,0.35,0.16
1,1,Acererak the Archlich,"['2', 'Black']",3,Legendary Creature — Zombie Wizard,"When Acererak the Archlich enters the battlefield, if you haven't completed Tomb of Annihilation, return Acererak the Archlich to its owner's hand and venture into the dungeon.", , , ,5 / 5,"Rarity:
Mythic Rare",Adventures in the Forgotten Realms,87,Andrey Kuzinskiy,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527374&type=card,2033.0,7.99,7.66,8.92,8.15
2,2,Adult Gold Dragon,"['3', 'Red', 'White']",5,Creature — Dragon,"Flying, lifelink, haste", ,"Gold dragons are the greatest of the metallic dragons in size, power, and wisdom, and often take it upon themselves to safeguard mortal communities from evils that might threaten them.", ,4 / 3,"Rarity:
Rare",Adventures in the Forgotten Realms,216,Chris Rahn,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527503&type=card,2034.0,0.50,0.31,0.55,0.39
3,3,Air-Cult Elemental,"['4', 'Blue', 'Blue']",6,Creature — Elemental,Flying, ,"Elemental Evil distorts the natural elements, limiting them to aspects of destruction.", ,2 / 5,"Rarity:
Common",Adventures in the Forgotten Realms,45,Kari Christensen,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527332&type=card,2035.0,0.20,0.04,0.25,0.08
4,4,Arborea Pegasus,"['3', 'White']",4,Creature — Pegasus,Flying, ,The noble steeds of the elven gods can sometimes be persuaded to allow mere mortals on their backs., ,2 / 3,"Rarity:
Common",Adventures in the Forgotten Realms,2,Justyna Gil,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527289&type=card,,,,,
5,5,Arcane Investigator,"['1', 'Blue']",2,Creature — Elf Wizard,Search the Room — : Roll a d20., , , ,2 / 1,"Rarity:
Common",Adventures in the Forgotten Realms,46,Bram Sels,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527333&type=card,2037.0,0.18,0.04,0.25,0.09
6,6,Armory Veteran,"['1', 'Red']",2,Creature — Orc Warrior,"As long as Armory Veteran is equipped, it has menace. (It can't be blocked except by two or more creatures.)", ,"""This one is for goblins, this one is for owlbears, this one is for toast, this one is for . . .""", ,2 / 2,"Rarity:
Common",Adventures in the Forgotten Realms,130,Caio Monteiro,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527417&type=card,2038.0,0.20,0.04,0.25,0.08
7,7,Asmodeus the Archfiend,"['4', 'Black', 'Black']",6,Legendary Creature — Devil God,"Binding Contract — If you would draw a card, exile the top card of your library face down instead.", , , ,6 / 6,"Rarity:
Rare",Adventures in the Forgotten Realms,88,Aleksi Briclot,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527375&type=card,2039.0,1.00,0.62,1.16,0.95
8,8,Bag of Holding,['1'],1,Artifact,"Whenever you discard a card, exile that card from your graveyard.", ,Leave no treasure behind., , ,"Rarity:
Uncommon",Adventures in the Forgotten Realms,240,Evyn Fong,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527527&type=card,2040.0,0.25,0.07,0.4,0.23
9,9,Baleful Beholder,"['4', 'Black', 'Black']",6,Creature — Beholder,"When Baleful Beholder enters the battlefield, choose one —", , , ,6 / 5,"Rarity:
Common",Adventures in the Forgotten Realms,89,Lars Grant-West,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527376&type=card,2041.0,0.19,0.04,0.25,0.09
10,10,Bar the Gate,"['2', 'Blue']",3,Instant,Counter target creature or planeswalker spell. Venture into the dungeon. (Enter the first room or advance to the next room.), ,"""This path is closed to you!""", , ,"Rarity:
Common",Adventures in the Forgotten Realms,47,Johannes Voss,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527334&type=card,2042.0,0.18,0.05,0.29,0.11
11,11,Barbarian Class,['Red'],1,Enchantment — Class,(Gain the next level as a sorcery to add its ability.), , , , ,"Rarity:
Uncommon",Adventures in the Forgotten Realms,131,Campbell White,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527418&type=card,2043.0,0.30,0.22,0.74,0.44
12,12,Bard Class,"['Red', 'Green']",2,Enchantment — Class,(Gain the next level as a sorcery to add its ability.), , , , ,"Rarity:
Rare",Adventures in the Forgotten Realms,217,Andrew Mar,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527504&type=card,2044.0,1.49,1.27,1.93,1.65
13,13,Barrowin of Clan Undurr,"['2', 'White', 'Black']",4,Legendary Creature — Dwarf Cleric,"When Barrowin of Clan Undurr enters the battlefield, venture into the dungeon. (Enter the first room or advance to the next room.)", , , ,3 / 3,"Rarity:
Uncommon",Adventures in the Forgotten Realms,218,Manuel Castañón,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527505&type=card,2045.0,0.25,0.13,0.41,0.27
14,14,Battle Cry Goblin,"['1', 'Red']",2,Creature — Goblin,: Goblins you control get +1/+0 and gain haste until end of turn., , , ,2 / 2,"Rarity:
Uncommon",Adventures in the Forgotten Realms,132,April Prime,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527419&type=card,2046.0,0.30,0.26,0.51,0.44
15,15,Black Dragon,"['5', 'Black', 'Black']",7,Creature — Dragon,Flying, ,Black dragons revel in the collapse of humanoid kingdoms., ,4 / 4,"Rarity:
Uncommon",Adventures in the Forgotten Realms,90,Mark Zug,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527377&type=card,2047.0,0.25,0.07,0.35,0.18
16,16,Blink Dog,"['2', 'White']",3,Creature — Dog,Double strike, ,"Blink dogs protect the wild places of the world, driving away evil influences.", ,1 / 1,"Rarity:
Uncommon",Adventures in the Forgotten Realms,3,Oriana Menendez,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527290&type=card,2048.0,0.25,0.09,0.34,0.2
17,17,Blue Dragon,"['5', 'Blue', 'Blue']",7,Creature — Dragon,Flying, , , ,5 / 5,"Rarity:
Uncommon",Adventures in the Forgotten Realms,49,Svetlin Velinov,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527336&type=card,2049.0,0.25,0.1,0.4,0.23
18,18,Boots of Speed,['Red'],1,Artifact — Equipment,Equipped creature gets +1/+0 and has haste., ,Click your heels and become the wind., , ,"Rarity:
Common",Adventures in the Forgotten Realms,133,Chris Rallis,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527420&type=card,2051.0,0.21,0.09,0.35,0.2
19,19,Brazen Dwarf,"['1', 'Red']",2,Creature — Dwarf Shaman,"Whenever you roll one or more dice, Brazen Dwarf deals 1 damage to each opponent.", ,"""My grandmother saved the life of a brass dragon, and in return she was given a glimpse of the fire in its heart—a glimpse she passed down to me.""", ,1 / 3,"Rarity:
Common",Adventures in the Forgotten Realms,134,Gabor Szikszai,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527421&type=card,2052.0,0.17,0.06,0.25,0.11
20,20,Bruenor Battlehammer,"['2', 'Red', 'White']",4,Legendary Creature — Dwarf Warrior,Each creature you control gets +2/+0 for each Equipment attached to it., ,"""Knew I'd find ye in trouble if I came out an' looked for ye!""", ,5 / 3,"Rarity:
Uncommon",Adventures in the Forgotten Realms,219,Wayne Reynolds,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527506&type=card,2053.0,0.41,0.23,0.66,0.51
21,21,Bulette,"['3', 'Green']",4,Creature — Beast,"At the beginning of your end step, if a creature died this turn, put a +1/+1 counter on Bulette.", ,"Capable of moving swiftly through even tightly-packed earth and leaping surprising distances above ground, bulettes are difficult to escape once they've caught scent of prey.", ,3 / 3,"Rarity:
Common",Adventures in the Forgotten Realms,173,Jason Kang,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527460&type=card,2054.0,0.20,0.03,0.25,0.07
22,22,Bull's Strength,"['1', 'Green']",2,Instant,Target creature gets +2/+2 and gains trample until end of turn. Untap it., ,"As the iron bars of the portcullis parted like reeds, the defenders of the keep suddenly felt much less secure.", , ,"Rarity:
Common",Adventures in the Forgotten Realms,174,Gabor Szikszai,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527461&type=card,2055.0,0.19,0.02,0.25,0.02
23,23,Burning Hands,"['1', 'Red']",2,Instant,"Burning Hands deals 2 damage to target creature or planeswalker. If that permanent is green, Burning Hands deals 6 damage instead.", ,A simple fire spell that grows in intensity along with its caster., , ,"Rarity:
Uncommon",Adventures in the Forgotten Realms,135,Olena Richards,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527422&type=card,2056.0,0.25,0.12,0.48,0.29
24,24,Cave of the Frost Dragon,[],2,Land,"If you control two or more other lands, Cave of the Frost Dragon enters the battlefield tapped.", , , , ,"Rarity:
Rare",Adventures in the Forgotten Realms,253,Johannes Voss,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527540&type=card,2057.0,1.06,0.93,1.32,1.34
25,25,Celestial Unicorn,"['2', 'White']",3,Creature — Unicorn,"Whenever you gain life, put a +1/+1 counter on Celestial Unicorn.", ,"When all hope fails, its light remains.", ,3 / 2,"Rarity:
Common",Adventures in the Forgotten Realms,5,Johannes Voss,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527292&type=card,2058.0,0.21,0.07,0.32,0.15
26,26,Chaos Channeler,"['2', 'Red', 'Red']",4,Creature — Human Shaman,"Wild Magic Surge — Whenever Chaos Channeler attacks, roll a d20.", , , ,4 / 3,"Rarity:
Uncommon",Adventures in the Forgotten Realms,136,David Palumbo,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527423&type=card,2059.0,0.25,0.05,0.35,0.16
27,27,Charmed Sleep,"['1', 'Blue', 'Blue']",3,Enchantment — Aura,Enchant creature, , , , ,"Rarity:
Common",Adventures in the Forgotten Realms,50,Zoltan Boros,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527337&type=card,2060.0,0.20,0.02,0.25,0.05
28,28,Check for Traps,"['1', 'Black']",2,Sorcery,"Target opponent reveals their hand. You choose a nonland card from it. Exile that card. If an instant card or a card with flash is exiled this way, they lose 1 life. Otherwise, you lose 1 life.", ,"""Relax. I'm a professional.""", , ,"Rarity:
Uncommon",Adventures in the Forgotten Realms,92,Zoltan Boros,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527379&type=card,2061.0,0.25,0.06,0.48,0.28
29,29,Choose Your Weapon,"['2', 'Green']",3,Instant,Choose one —, ,"""Move it, Varis, or I'll pick one for you!""", , ,"Rarity:
Uncommon",Adventures in the Forgotten Realms,175,Olivier Bernard,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527462&type=card,2062.0,0.25,0.08,0.37,0.19
30,30,Circle of Dreams Druid,"['Green', 'Green', 'Green']",3,Creature — Elf Druid,: Add for each creature you control., ,"The realms protected by druids of the Circle of Dreams are gleaming, fruitful places, where dream and reality blur together and the weary can find rest.", ,2 / 1,"Rarity:
Rare",Adventures in the Forgotten Realms,176,Sam Guay,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527463&type=card,2063.0,9.75,9.03,10.99,10.36
31,31,Circle of the Moon Druid,"['2', 'Green']",3,Creature — Human Elf Druid,"Bear Form — As long as it's your turn, Circle of the Moon Druid is a Bear with base power and toughness 4/2. (It loses all other creature types.)", ,Druids of the Circle of the Moon are fierce guardians of nature who haunt the deepest parts of the wilderness., ,2 / 4,"Rarity:
Common",Adventures in the Forgotten Realms,177,Nicholas Elias,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527464&type=card,2064.0,0.20,0.01,0.25,0.09
32,32,Clattering Skeletons,"['3', 'Black']",4,Creature — Skeleton,"When Clattering Skeletons dies, venture into the dungeon. (Enter the first room or advance to the next room.)", ,Those who die in the dungeon become its guardians., ,4 / 3,"Rarity:
Common",Adventures in the Forgotten Realms,93,Aleksi Briclot,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527380&type=card,2065.0,0.18,0.03,0.25,0.08
33,33,Cleric Class,['White'],1,Enchantment — Class,(Gain the next level as a sorcery to add its ability.), , , , ,"Rarity:
Uncommon",Adventures in the Forgotten Realms,6,Alayna Danner,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527293&type=card,2066.0,0.62,0.58,0.99,0.86
34,34,Clever Conjurer,"['2', 'Blue']",3,Creature — Gnome Wizard,Mage Hand — : Untap target permanent not named Clever Conjurer. Activate only as a sorcery., ,"""I'm always happy to lend a hand!""", ,2 / 3,"Rarity:
Common",Adventures in the Forgotten Realms,51,Zoltan Boros,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527338&type=card,2067.0,0.20,0.02,0.25,0.12
35,35,Cloister Gargoyle,"['2', 'White']",3,Artifact Creature — Gargoyle,"When Cloister Gargoyle enters the battlefield, venture into the dungeon. (Enter the first room or advance to the next room.)", , , ,0 / 4,"Rarity:
Uncommon",Adventures in the Forgotten Realms,7,Mark Zug,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527294&type=card,2068.0,0.25,0.06,0.35,0.18
36,36,Compelled Duel,"['1', 'Green']",2,Sorcery,Target creature gets +3/+3 until end of turn and must be blocked this turn if able., ,"""You might be four times my size, but I will not be ignored!""", , ,"Rarity:
Common",Adventures in the Forgotten Realms,178,Zezhou Chen,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527465&type=card,2069.0,0.20,0.02,0.25,0.08
37,37,Contact Other Plane,"['3', 'Blue']",4,Instant,Roll a d20., , , , ,"Rarity:
Common",Adventures in the Forgotten Realms,52,Alix Branwyn,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527339&type=card,2070.0,0.18,0.07,0.25,0.09
38,38,Critical Hit,"['1', 'Red']",2,Instant,Target creature gains double strike until end of turn., ,"""How do you kill what's already dead? <i>That's</i> how.""", , ,"Rarity:
Uncommon",Adventures in the Forgotten Realms,137,Francisco Miyara,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527424&type=card,2071.0,0.25,0.04,0.34,0.21
39,39,Dancing Sword,"['1', 'White']",2,Artifact — Equipment,Equipped creature gets +2/+1., , , , ,"Rarity:
Rare",Adventures in the Forgotten Realms,8,Wisnu Tan,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527295&type=card,2072.0,0.42,0.24,0.5,0.29
40,40,Dawnbringer Cleric,"['1', 'White']",2,Creature — Human Cleric,"When Dawnbringer Cleric enters the battlefield, choose one —", , , ,1 / 3,"Rarity:
Common",Adventures in the Forgotten Realms,9,Lie Setiawan,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527296&type=card,2073.0,0.20,0.1,0.3,0.2
41,41,Deadly Dispute,"['1', 'Black']",2,Instant,"As an additional cost to cast this spell, sacrifice an artifact or creature.", ,"""That's a pretty ring! Trade you my knife for it.""", , ,"Rarity:
Common",Adventures in the Forgotten Realms,94,Irina Nordsol,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527381&type=card,2074.0,0.36,0.37,0.52,0.47
42,42,Death-Priest of Myrkul,"['2', 'Black', 'Black']",4,Creature — Tiefling Cleric,"Skeletons, Vampires, and Zombies you control get +1/+1.", ,"""The Reaper bids you rise!""", ,2 / 2,"Rarity:
Uncommon",Adventures in the Forgotten Realms,95,Lius Lasahido,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527382&type=card,2075.0,0.30,0.17,0.41,0.29
43,43,"Delina, Wild Mage","['3', 'Red']",4,Legendary Creature — Elf Shaman,"Whenever Delina, Wild Mage attacks, choose target creature you control, then roll a d20.", , , ,3 / 2,"Rarity:
Rare",Adventures in the Forgotten Realms,138,Wisnu Tan,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527425&type=card,2076.0,1.28,1.11,1.74,1.71
44,44,Delver's Torch,"['1', 'White']",2,Artifact — Equipment,Equipped creature gets +1/+1., ,"""Not all of us have darkvision, okay?""", , ,"Rarity:
Common",Adventures in the Forgotten Realms,10,Bram Sels,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527297&type=card,2077.0,0.20,0.06,0.3,0.09
45,45,Demilich,"['Blue', 'Blue', 'Blue', 'Blue']",4,Creature — Skeleton Wizard,This spell costs less to cast for each instant and sorcery spell you've cast this turn., , , ,4 / 3,"Rarity:
Mythic Rare",Adventures in the Forgotten Realms,53,Daniel Zrom,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527340&type=card,2078.0,12.99,9.6,15.83,14.25
46,46,Demogorgon's Clutches,"['2', 'Black']",3,Sorcery,"Target opponent discards two cards, mills two cards, and loses 2 life. (To mill a card, a player puts the top card of their library into their graveyard.)", ,"The good will be corrupted, the kind will be devoured, and all will be dragged into the bottomless Abyss.", , ,"Rarity:
Uncommon",Adventures in the Forgotten Realms,96,Alexander Mokhov,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527383&type=card,2079.0,0.25,0.08,0.49,0.24
47,47,Den of the Bugbear,[],3,Land,"If you control two or more other lands, Den of the Bugbear enters the battlefield tapped.", , , , ,"Rarity:
Rare",Adventures in the Forgotten Realms,254,Johannes Voss,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527541&type=card,2080.0,2.41,2.42,2.77,2.51
