,card name,edition,rarity,converted mana cost,colourless mana,coloured mana,main type,sub type,power,toughness,abilities,average price in $,market price in $,foil price in $,img url
14980,Abandon Reason,Eldritch Moon ,Uncommon,3,['2', 'Red'],Instant,,,,"Up to two target creatures each get +1/+0 and gain first strike until end of turn.
Madness (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",0.25,0.10,0.48,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=414412&type=card
22104,Abbey Griffin,Innistrad ,Common,4,['3', 'White'],Creature , Griffin , Griffin (2,2),"Flying, vigilance",0.25,0.11,0.41,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=235595&type=card
19382,Abbey Matron,Homelands ,Common,3,['2', 'White'],Creature , Human Cleric , Human Cleric (1,3),", : Abbey Matron gets +0/+3 until end of turn.",0.25,0.12,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3011&type=card
3510,Abduction,Classic Sixth Edition ,Uncommon,4,['2'," 'Blue', 'Blue']",Enchantment , Aura, Aura,,"Enchant creature
When Abduction enters the battlefield, untap enchanted creature.
You control enchanted creature.
When enchanted creature dies, return that card to the battlefield under its owner's control.",0.39,0.34,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=14526&type=card
9248,Abnormal Endurance,Core Set 2019 ,Common,2,['1', 'Black'],Instant,,,,"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control.""",,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=447221&type=card
13102,Abolish,Duel Decks: Elspeth vs. Tezzeret ,Uncommon,3,['1'," 'White', 'White']",Instant,,,,"You may discard a Plains card rather than pay this spell's mana cost.
Destroy target artifact or enchantment.",0.66,0.34,9.99,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=222765&type=card
14981,Abolisher of Bloodlines,Eldritch Moon ,Rare,0,['2', 'Red'],Creature , Eldrazi Vampire , Eldrazi Vampire (6,5),"Flying
When this creature transforms into Abolisher of Bloodlines, target opponent sacrifices three creatures.",0.25,0.10,0.48,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=414408&type=card
24495,Abomination of Gudul,Khans of Tarkir ,Common,6,['3'," 'Black', 'Green', 'Blue']",Creature , Horror , Horror (3,4),"Flying
Whenever Abomination of Gudul deals combat damage to a player, you may draw a card. If you do, discard a card.
Morph (You may cast this card face down as a 2/2 creature for . Turn it face up any time for its morph cost.)",0.20,0.05,0.32,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=386463&type=card
18632,Abrupt Decay,Guild Kit: Golgari ,Rare,2,['Black', 'Green'],Instant,,,,"This spell can't be countered.
Destroy target nonland permanent with mana value 3 or less.",0.24,0.07,0.36,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=456061&type=card
18966,Absolver Thrull,Guildpact ,Common,4,['3', 'White'],Creature , Thrull Cleric , Thrull Cleric (2,3),"Haunt (When this creature dies, exile it haunting target creature.)
When Absolver Thrull enters the battlefield or the creature it haunts dies, destroy target enchantment.",0.50,0.41,0.99,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=96953&type=card
