card name,average price,market price,foil price
Acidic Slime,None,None,None
Acolyte of Xathrid,"AVERAGE
$0.29","MARKET
$0.20","FOIL
$1.20"
Act of Treason,"AVERAGE
$0.23","MARKET
$0.10","FOIL
$0.49"
Air Elemental,"AVERAGE
$0.19","MARKET
$0.03","FOIL
$0.25"
Ajani Goldmane,None,"MARKET
$13.67","FOIL
$12.47"
Alluring Siren,None,"MARKET
$13.67","FOIL
$12.47"
Angel's Feather,"AVERAGE
$0.24","MARKET
$0.12","FOIL
$0.35"
Angel's Mercy,"AVERAGE
$0.25","MARKET
$0.10","FOIL
$0.35"
Ant Queen,"AVERAGE
$0.24","MARKET
$0.12","FOIL
$1.35"
Armored Ascension,"AVERAGE
$0.26","MARKET
$0.19","FOIL
$0.78"
Assassinate,"AVERAGE
$0.26","MARKET
$0.19","FOIL
$0.78"
Awakener Druid,"AVERAGE
$0.22","MARKET
$0.02","FOIL
$0.35"
Ball Lightning,"AVERAGE
$0.25","MARKET
$0.04","FOIL
$3.60"
Baneslayer Angel,"AVERAGE
$1.90","MARKET
$1.79","FOIL
$3.60"
Berserkers of Blood Ridge,"AVERAGE
$0.19","MARKET
$0.02","FOIL
$0.29"
Birds of Paradise,"AVERAGE
$12.00","MARKET
$11.75","FOIL
$18.89"
Black Knight,"AVERAGE
$12.00","MARKET
$11.75","FOIL
$18.89"
Blinding Mage,"AVERAGE
$0.19","MARKET
$0.04","FOIL
$0.29"
Bog Wraith,"AVERAGE
$0.19","MARKET
$0.04","FOIL
$0.29"
Bogardan Hellkite,"AVERAGE
$0.24","MARKET
$0.06","FOIL
$0.35"
Borderland Ranger,"AVERAGE
$0.84","MARKET
$0.69","FOIL
$3.06"
Bountiful Harvest,"AVERAGE
$0.19","MARKET
$0.04","FOIL
$0.30"
Bramble Creeper,"AVERAGE
$0.19","MARKET
$0.04","FOIL
$0.30"
Burning Inquiry,"AVERAGE
$0.20","MARKET
$0.05","FOIL
$0.28"
Burst of Speed,"AVERAGE
$3.88","MARKET
$3.18","FOIL
$0.49"
Cancel,"AVERAGE
$0.23","MARKET
$0.11","FOIL
$0.49"
Canyon Minotaur,"AVERAGE
$0.20","MARKET
$0.04","FOIL
$0.28"
Capricious Efreet,"AVERAGE
$0.19","MARKET
$0.06","FOIL
$0.78"
Captain of the Watch,"AVERAGE
$0.39","MARKET
$0.19","FOIL
$0.78"
Celestial Purge,"AVERAGE
$0.67","MARKET
$0.53","FOIL
$1.85"
Cemetery Reaper,"AVERAGE
$0.25","MARKET
$0.19","FOIL
$7.97"
Centaur Courser,"AVERAGE
$4.60","MARKET
$5.28","FOIL
$7.97"
Chandra Nalaar,"AVERAGE
$1.85","MARKET
$1.42","FOIL
$5.72"
Child of Night,"AVERAGE
$1.85","MARKET
$1.42","FOIL
$0.25"
Clone,"AVERAGE
$0.49","MARKET
$0.42","FOIL
$0.95"
Coat of Arms,"AVERAGE
$19.74","MARKET
$13.89","FOIL
$54.99"
Consume Spirit,"AVERAGE
$19.74","MARKET
$13.89","FOIL
$54.99"
Convincing Mirage,"AVERAGE
$0.25","MARKET
$0.15","FOIL
$0.47"
Coral Merfolk,"AVERAGE
$0.23","MARKET
$0.15","FOIL
$0.46"
Craw Wurm,"AVERAGE
$0.35","MARKET
$0.28",None
Cudgel Troll,"AVERAGE
$0.20","MARKET
$0.05","FOIL
$0.38"
Darksteel Colossus,"AVERAGE
$0.24","MARKET
$0.05","FOIL
$0.38"
Deadly Recluse,"AVERAGE
$9.97","MARKET
$9.76","FOIL
$12.00"
Deathmark,"AVERAGE
$0.24","MARKET
$0.21","FOIL
$0.59"
Demon's Horn,"AVERAGE
$0.24","MARKET
$0.13","FOIL
$0.44"
Diabolic Tutor,"AVERAGE
$0.25","MARKET
$0.88","FOIL
$1.43"
Disentomb,"AVERAGE
$1.03","MARKET
$0.88","FOIL
$1.43"
Disorient,"AVERAGE
$0.19","MARKET
$0.10","FOIL
$0.26"
Divination,"AVERAGE
$0.19","MARKET
$0.04","FOIL
$0.26"
Divine Verdict,"AVERAGE
$0.25","MARKET
$0.13","FOIL
$0.45"
Djinn of Wishes,"AVERAGE
$0.25","MARKET
$0.10","FOIL
$0.60"
Doom Blade,"AVERAGE
$0.25","MARKET
$0.18","FOIL
$1.01"
Dragon Whelp,"AVERAGE
$0.25","MARKET
$0.18","FOIL
$1.01"
Dragon's Claw,"AVERAGE
$0.25","MARKET
$0.13","FOIL
$0.47"
Dragonskull Summit,"AVERAGE
$0.35","MARKET
$0.28","FOIL
$1.59"
Dread Warlock,"AVERAGE
$4.17","MARKET
$4.34","FOIL
$5.76"
Drowned Catacomb,"AVERAGE
$0.20","MARKET
$0.07","FOIL
$0.30"
Drudge Skeletons,"AVERAGE
$6.99","MARKET
$7.02","FOIL
$12.93"
Duress,"AVERAGE
$0.20","MARKET
$0.10","FOIL
$10.04"
Earthquake,"AVERAGE
$0.20","MARKET
$0.06","FOIL
$0.50"
Elite Vanguard,"AVERAGE
$2.29","MARKET
$2.18","FOIL
$2.97"
Elvish Archdruid,"AVERAGE
$0.25","MARKET
$0.07","FOIL
$0.50"
Elvish Piper,"AVERAGE
$12.53","MARKET
$6.20","FOIL
$25.39"
Elvish Visionary,"AVERAGE
$12.53","MARKET
$6.20","FOIL
$25.39"
Emerald Oryx,"AVERAGE
$0.25","MARKET
$0.12","FOIL
$0.29"
Enormous Baloth,"AVERAGE
$0.20","MARKET
$0.02","FOIL
$0.29"
Entangling Vines,"AVERAGE
$0.20","MARKET
$0.06","FOIL
$0.35"
Essence Scatter,"AVERAGE
$0.20","MARKET
$0.09","FOIL
$0.52"
Excommunicate,"AVERAGE
$0.20","MARKET
$0.04","FOIL
$0.29"
Fabricate,"AVERAGE
$0.19","MARKET
$5.89","FOIL
$39.99"
Fiery Hellhound,"AVERAGE
$5.98","MARKET
$5.89","FOIL
$39.99"
Fireball,"AVERAGE
$0.22","MARKET
$0.16",None
Firebreathing,"AVERAGE
$0.22","MARKET
$0.16",None
Flashfreeze,"AVERAGE
$0.21","MARKET
$0.13","FOIL
$0.45"
Fog,"AVERAGE
$1.54","MARKET
$1.39",None
Forest,"AVERAGE
$1.64","MARKET
$1.33",None
Gargoyle Castle,"AVERAGE
$1.64","MARKET
$1.33",None
Garruk Wildspeaker,"AVERAGE
$6.41","MARKET
$5.42","FOIL
$15.62"
Giant Growth,"AVERAGE
$6.41","MARKET
$5.42","FOIL
$15.62"
Giant Spider,"AVERAGE
$0.20","MARKET
$0.07","FOIL
$0.36"
Glacial Fortress,"AVERAGE
$0.19","MARKET
$0.01","FOIL
$0.29"
Glorious Charge,"AVERAGE
$5.05","MARKET
$5.23","FOIL
$10.03"
Goblin Artillery,"AVERAGE
$0.24","MARKET
$0.07","FOIL
$0.40"
Goblin Chieftain,"AVERAGE
$0.24","MARKET
$0.07","FOIL
$0.40"
Goblin Piker,"AVERAGE
$3.29","MARKET
$2.91","FOIL
$7.36"
Gorgon Flail,"AVERAGE
$0.19","MARKET
$0.04","FOIL
$0.26"
Gravedigger,"AVERAGE
$2.19","MARKET
$2.19","FOIL
$7.88"
Great Sable Stag,"AVERAGE
$0.20","MARKET
$0.08","FOIL
$0.45"
Griffin Sentinel,"AVERAGE
$0.64","MARKET
$0.50","FOIL
$2.38"
Guardian Seraph,"AVERAGE
$0.18","MARKET
$0.01","FOIL
$0.29"
Harm's Way,"AVERAGE
$0.70","MARKET
$0.62","FOIL
$1.87"
Haunting Echoes,"AVERAGE
$0.24","MARKET
$0.14","FOIL
$0.98"
Hive Mind,"AVERAGE
$0.45","MARKET
$0.18","FOIL
$0.98"
Holy Strength,"AVERAGE
$5.36","MARKET
$5.57","FOIL
$0.39"
Honor of the Pure,"AVERAGE
$0.20","MARKET
$0.07","FOIL
$2.51"
Horned Turtle,"AVERAGE
$1.50","MARKET
$1.45","FOIL
$2.51"
Howl of the Night Pack,"AVERAGE
$0.18","MARKET
$0.13","FOIL
$0.48"
Howling Banshee,"AVERAGE
$0.25","MARKET
$0.13","FOIL
$0.48"
Howling Mine,"AVERAGE
$0.24","MARKET
$5.23","FOIL
$16.98"
Hypnotic Specter,"AVERAGE
$5.74","MARKET
$5.23","FOIL
$16.98"
Ice Cage,"AVERAGE
$1.76","MARKET
$1.73","FOIL
$0.25"
Ignite Disorder,"AVERAGE
$0.19","MARKET
$0.05","FOIL
$0.35"
Illusionary Servant,"AVERAGE
$0.24","MARKET
$0.11","FOIL
$0.48"
Indestructibility,"AVERAGE
$0.24","MARKET
$0.11","FOIL
$0.48"
Inferno Elemental,"AVERAGE
$0.25","MARKET
$0.15","FOIL
$0.44"
Island,"AVERAGE
$800.97","MARKET
$731.91",None
Jace Beleren,"AVERAGE
$3.74","MARKET
$3.63","FOIL
$12.96"
Jackal Familiar,"AVERAGE
$3.74","MARKET
$3.63","FOIL
$12.96"
Jump,"AVERAGE
$0.20","MARKET
$0.08",None
